rank,filename,fused_score,n_active_methods,score_minutiae,score_orb,score_sift,inliers_minutiae,inliers_orb,inliers_sift,best_method
1,303_1.tif,50.0000,1,14.2887,0.8165,0.8165,14,4,4,minutiae
2,Modello.jpg,50.0000,1,14.2887,1.0206,0.8165,14,5,4,minutiae
3,130_5.tif,46.4286,1,13.2681,1.0206,0.0000,13,5,0,minutiae
4,306_1.tif,46.4286,1,13.2681,1.0206,1.0206,13,5,5,minutiae
5,301_5.tif,42.8571,1,12.2474,1.0206,0.8165,12,5,4,minutiae
6,303_7.tif,42.8571,1,12.2474,1.0206,0.8165,12,5,4,minutiae
7,303_8.tif,42.8571,1,12.2474,1.0206,0.8165,12,5,4,minutiae
8,308_5.tif,42.8571,1,12.2474,1.0206,0.8165,12,5,4,minutiae
9,130_7.tif,39.2857,1,11.2268,1.0206,0.8165,11,5,4,minutiae
10,130_8.tif,39.2857,1,11.2268,1.0206,0.0000,11,5,0,minutiae
11,303_3.tif,39.2857,1,11.2268,1.0206,0.8165,11,5,4,minutiae
12,303_6.tif,39.2857,1,11.2268,1.0206,0.8165,11,5,4,minutiae
13,304_4.tif,39.2857,1,11.2268,1.2247,1.0206,11,6,5,minutiae
14,304_8.tif,39.2857,1,11.2268,1.0206,0.8165,11,5,4,minutiae
15,306_2.tif,39.2857,1,11.2268,1.0206,0.8165,11,5,4,minutiae
16,306_3.tif,39.2857,1,11.2268,1.0206,0.8165,11,5,4,minutiae
17,306_8.tif,39.2857,1,11.2268,1.2247,0.0000,11,6,0,minutiae
18,307_1.tif,39.2857,1,11.2268,1.0206,0.8165,11,5,4,minutiae
19,308_4.tif,39.2857,1,11.2268,1.0206,1.0206,11,5,5,minutiae
20,308_8.tif,39.2857,1,11.2268,1.0206,1.0206,11,5,5,minutiae
21,301_4.tif,35.7143,1,10.2062,1.0206,0.8165,10,5,4,minutiae
22,302_4.tif,35.7143,1,10.2062,1.0206,0.8165,10,5,4,minutiae
23,302_6.tif,35.7143,1,10.2062,1.2247,0.8165,10,6,4,minutiae
24,306_7.tif,35.7143,1,10.2062,0.0000,0.8165,10,0,4,minutiae
25,307_3.tif,35.7143,1,10.2062,1.2247,1.0206,10,6,5,minutiae
26,105_3.tif,32.1429,1,9.1856,1.2247,0.8165,9,6,4,minutiae
27,130_2.tif,32.1429,1,9.1856,1.0206,0.8165,9,5,4,minutiae
28,130_3.tif,32.1429,1,9.1856,1.0206,0.8165,9,5,4,minutiae
29,301_1.tif,32.1429,1,9.1856,1.0206,0.0000,9,5,0,minutiae
30,301_2.tif,32.1429,1,9.1856,1.0206,0.8165,9,5,4,minutiae
31,301_3.tif,32.1429,1,9.1856,0.0000,0.8165,9,0,4,minutiae
32,301_6.tif,32.1429,1,9.1856,1.0206,0.8165,9,5,4,minutiae
33,301_8.tif,32.1429,1,9.1856,0.8165,0.8165,9,4,4,minutiae
34,302_2.tif,32.1429,1,9.1856,0.0000,0.8165,9,0,4,minutiae
35,302_5.tif,32.1429,1,9.1856,1.0206,0.0000,9,5,0,minutiae
36,303_4.tif,32.1429,1,9.1856,1.2247,0.8165,9,6,4,minutiae
37,303_5.tif,32.1429,1,9.1856,1.0206,0.0000,9,5,0,minutiae
38,304_2.tif,32.1429,1,9.1856,1.2247,0.8165,9,6,4,minutiae
39,304_3.tif,32.1429,1,9.1856,0.0000,0.8165,9,0,4,minutiae
40,305_3.tif,32.1429,1,9.1856,1.2247,1.0206,9,6,5,minutiae
41,305_4.tif,32.1429,1,9.1856,1.0206,0.8165,9,5,4,minutiae
42,305_5.tif,32.1429,1,9.1856,1.0206,0.0000,9,5,0,minutiae
43,306_4.tif,32.1429,1,9.1856,0.8165,0.8165,9,4,4,minutiae
44,307_2.tif,32.1429,1,9.1856,1.0206,0.8165,9,5,4,minutiae
45,307_5.tif,32.1429,1,9.1856,1.0206,0.8165,9,5,4,minutiae
46,307_6.tif,32.1429,1,9.1856,1.0206,0.8165,9,5,4,minutiae
47,307_7.tif,32.1429,1,9.1856,0.8165,0.8165,9,4,4,minutiae
48,307_8.tif,32.1429,1,9.1856,1.0206,0.8165,9,5,4,minutiae
49,308_1.tif,32.1429,1,9.1856,1.0206,0.8165,9,5,4,minutiae
50,308_2.tif,32.1429,1,9.1856,0.8165,1.0206,9,4,5,minutiae
51,308_3.tif,32.1429,1,9.1856,1.0206,0.0000,9,5,0,minutiae
52,308_6.tif,32.1429,1,9.1856,1.0206,0.8165,9,5,4,minutiae
